strategy	config	step_acc	agent_acc
layer	layer/13	0.5556	0.8413
layer	layer/0	0.5556	0.8333
attn_weights	o/21	0.5556	0.8413
attn	attn/24	0.5556	0.8651
attn_weights	k/22	0.5556	0.8413
mlp_weights	down/6	0.5556	0.8254
attn	attn/13	0.5556	0.8333
attn	attn/5	0.5556	0.8413
attn	attn/0	0.5556	0.8333
mlp	mlp/7	0.5556	0.8254
attn_weights	v/24	0.5556	0.8730
attn_weights	o/4	0.5556	0.8413
attn_weights	o/12	0.5556	0.8413
mlp	mlp/5	0.5556	0.8413
mlp_weights	up/5	0.5556	0.8333
mlp_weights	gate/5	0.5556	0.8413
mlp_weights	down/3	0.5476	0.8333
mlp_weights	down/17	0.5476	0.8413
mlp_weights	up/18	0.5476	0.8413
mlp_weights	down/10	0.5476	0.8333
mlp_weights	down/7	0.5476	0.8254
mlp_weights	up/16	0.5476	0.8492
mlp	mlp/16	0.5476	0.8571
layer	embed_tokens	0.5476	0.8413
attn_weights	v/5	0.5476	0.8492
mlp_weights	up/4	0.5476	0.8254
attn_weights	v/1	0.5476	0.8492
mlp_weights	up/12	0.5476	0.8413
mlp_weights	up/11	0.5476	0.8333
mlp_weights	gate/10	0.5476	0.8333
mlp_weights	gate/4	0.5476	0.8492
layer	layer/18	0.5476	0.8492
attn_weights	v/25	0.5476	0.8492
mlp	mlp/4	0.5476	0.8254
attn_weights	o/3	0.5476	0.8254
attn_weights	v/20	0.5476	0.8651
attn_weights	v/17	0.5476	0.8571
attn_weights	v/7	0.5476	0.8175
attn_weights	v/13	0.5476	0.8254
attn_weights	v/6	0.5476	0.8333
mlp	mlp/10	0.5476	0.8333
layer	layer/21	0.5476	0.8571
attn_weights	o/11	0.5476	0.8175
attn_weights	o/2	0.5476	0.8333
attn_weights	o/26	0.5476	0.8571
attn	attn/17	0.5476	0.8571
layer	layer/2	0.5476	0.8492
attn_weights	o/17	0.5476	0.8413
attn_weights	o/20	0.5476	0.8413
layer	layer/15	0.5476	0.8651
layer	layer/14	0.5476	0.8571
attn_weights	k/8	0.5476	0.8413
attn_weights	o/24	0.5476	0.8492
attn_weights	q/4	0.5476	0.8175
attn_weights	q/0	0.5476	0.8413
attn_weights	k/6	0.5476	0.8254
attn	attn/19	0.5476	0.8571
attn	attn/22	0.5476	0.8413
attn	attn/23	0.5476	0.8571
attn	attn/11	0.5476	0.8413
mlp_weights	down/4	0.5476	0.8333
attn_weights	k/21	0.5476	0.8333
attn_weights	o/9	0.5397	0.8254
layer	layer/4	0.5397	0.8333
mlp_weights	down/8	0.5397	0.8413
attn	attn/4	0.5397	0.8333
attn_weights	k/25	0.5397	0.8254
mlp_weights	down/9	0.5397	0.8333
attn	attn/6	0.5397	0.8333
attn	attn/8	0.5397	0.8333
layer	layer/10	0.5397	0.8254
layer	layer/11	0.5397	0.8333
attn_weights	q/31	0.5397	0.8492
attn_weights	q/30	0.5397	0.8413
attn_weights	k/7	0.5397	0.8571
attn_weights	q/12	0.5397	0.8254
attn_weights	q/6	0.5397	0.8413
layer	layer/7	0.5397	0.8333
attn_weights	o/19	0.5397	0.8333
layer	layer/9	0.5397	0.8333
layer	layer/12	0.5397	0.8333
mlp_weights	gate/19	0.5397	0.8413
mlp_weights	gate/16	0.5397	0.8254
attn_weights	o/7	0.5397	0.8413
attn_weights	o/8	0.5397	0.8333
layer	layer/19	0.5397	0.8571
mlp	mlp/14	0.5397	0.8492
mlp	mlp/11	0.5397	0.8333
mlp	mlp/8	0.5397	0.8254
mlp	mlp/18	0.5397	0.8413
layer	layer/20	0.5397	0.8651
mlp	mlp/13	0.5397	0.8413
mlp	mlp/12	0.5397	0.8254
mlp_weights	gate/12	0.5397	0.8413
attn_weights	v/22	0.5397	0.8492
attn_weights	v/23	0.5397	0.8730
mlp_weights	gate/11	0.5397	0.8095
mlp_weights	gate/2	0.5397	0.8730
mlp_weights	gate/1	0.5397	0.8413
mlp_weights	gate/0	0.5397	0.8492
mlp_weights	gate/20	0.5397	0.8492
mlp_weights	up/8	0.5397	0.8254
mlp_weights	up/10	0.5397	0.8254
mlp_weights	up/7	0.5397	0.8175
mlp_weights	up/0	0.5397	0.8492
mlp_weights	up/1	0.5397	0.8413
mlp_weights	up/19	0.5397	0.8492
attn_weights	v/4	0.5397	0.8413
mlp_weights	gate/14	0.5397	0.8571
mlp	mlp/15	0.5317	0.8413
layer	layer/22	0.5317	0.8492
layer	layer/26	0.5317	0.8571
attn_weights	o/0	0.5317	0.8254
mlp_weights	up/15	0.5317	0.8413
mlp_weights	up/14	0.5317	0.8492
mlp_weights	down/1	0.5317	0.8413
attn_weights	q/22	0.5317	0.8175
mlp_weights	down/15	0.5317	0.8413
mlp_weights	down/14	0.5317	0.8333
attn	attn/1	0.5317	0.8413
attn_weights	k/10	0.5317	0.8175
attn_weights	v/10	0.5317	0.8175
mlp_weights	up/3	0.5317	0.8254
mlp_weights	gate/3	0.5317	0.8413
mlp_weights	up/13	0.5317	0.8333
mlp_weights	gate/21	0.5317	0.8413
mlp_weights	gate/22	0.5317	0.8492
mlp_weights	gate/9	0.5317	0.8254
mlp_weights	gate/8	0.5317	0.8333
attn_weights	o/6	0.5317	0.8333
layer	layer/16	0.5317	0.8175
mlp	mlp/9	0.5317	0.8175
mlp	mlp/3	0.5317	0.8333
attn_weights	v/26	0.5317	0.8492
mlp	mlp/19	0.5317	0.8413
mlp	mlp/1	0.5317	0.8413
mlp	mlp/0	0.5317	0.8571
mlp	mlp/17	0.5317	0.8333
mlp_weights	up/9	0.5317	0.8095
attn_weights	v/3	0.5317	0.8413
mlp_weights	up/21	0.5317	0.8492
attn_weights	q/8	0.5317	0.8333
attn_weights	o/22	0.5317	0.8333
layer	layer/8	0.5317	0.8254
mlp_weights	down/0	0.5317	0.8492
attn	attn/3	0.5317	0.8333
attn	attn/7	0.5317	0.8333
attn_weights	k/15	0.5317	0.8254
mlp_weights	gate/31	0.5238	0.8571
attn_weights	v/19	0.5238	0.8571
layer	layer/23	0.5238	0.8651
mlp	mlp/20	0.5238	0.8413
attn_weights	v/27	0.5238	0.8333
mlp_weights	gate/13	0.5238	0.8254
mlp_weights	gate/27	0.5238	0.8651
mlp_weights	gate/18	0.5238	0.8175
mlp_weights	gate/17	0.5238	0.8333
mlp_weights	up/22	0.5238	0.8333
attn_weights	v/9	0.5238	0.8413
mlp_weights	gate/15	0.5238	0.8333
mlp_weights	down/11	0.5238	0.8333
mlp_weights	up/17	0.5238	0.8413
mlp_weights	down/13	0.5238	0.8413
mlp_weights	down/16	0.5238	0.8413
mlp_weights	down/26	0.5238	0.8571
attn_weights	k/12	0.5238	0.8254
attn	attn/9	0.5238	0.8333
mlp_weights	down/12	0.5238	0.8254
attn_weights	q/9	0.5238	0.8095
attn_weights	q/7	0.5238	0.8333
attn_weights	k/0	0.5238	0.8413
attn_weights	q/11	0.5238	0.8333
layer	layer/1	0.5238	0.8492
layer	layer/3	0.5159	0.8333
attn_weights	q/15	0.5159	0.8254
attn_weights	o/30	0.5159	0.8571
attn_weights	o/1	0.5159	0.8333
mlp_weights	down/2	0.5159	0.8492
mlp_weights	gate/30	0.5159	0.8571
mlp_weights	down/21	0.5159	0.8651
mlp_weights	down/18	0.5159	0.8333
layer	layer/24	0.5159	0.8651
layer	layer/27	0.5159	0.8333
mlp_weights	down/20	0.5159	0.8492
mlp_weights	down/19	0.5159	0.8492
attn_weights	o/23	0.5079	0.8333
attn_weights	o/28	0.5079	0.8413
mlp	mlp/22	0.5079	0.8333
attn_weights	v/8	0.5079	0.8095
attn_weights	k/13	0.5079	0.7698
attn_weights	k/9	0.5079	0.8333
mlp	mlp/2	0.5079	0.8492
mlp_weights	up/24	0.5079	0.8413
mlp_weights	up/20	0.5079	0.8333
mlp_weights	up/26	0.5079	0.8333
mlp_weights	up/2	0.5079	0.8492
mlp	mlp/21	0.5000	0.8333
mlp_weights	up/29	0.5000	0.8333
mlp_weights	up/23	0.5000	0.8492
mlp_weights	gate/23	0.5000	0.8333
attn_weights	k/31	0.5000	0.8333
attn_weights	k/19	0.5000	0.7937
mlp	mlp/24	0.5000	0.8413
mlp_weights	down/23	0.5000	0.8492
mlp_weights	down/24	0.5000	0.8571
mlp	mlp/26	0.5000	0.8413
attn	attn/27	0.4921	0.8333
mlp	mlp/23	0.4921	0.8413
mlp_weights	gate/24	0.4921	0.8254
mlp_weights	up/30	0.4921	0.8413
mlp_weights	down/22	0.4921	0.8492
mlp_weights	down/27	0.4921	0.8571
mlp	mlp/25	0.4921	0.8413
mlp_weights	up/25	0.4921	0.8333
layer	layer/25	0.4841	0.8095
mlp_weights	down/25	0.4841	0.8571
attn_weights	q/27	0.4841	0.8413
attn	attn/31	0.4841	0.8254
layer	layer/30	0.4841	0.8413
layer	layer/31	0.4841	0.8254
mlp_weights	gate/26	0.4841	0.8175
mlp	mlp/30	0.4841	0.8333
mlp_weights	gate/25	0.4841	0.8175
mlp	mlp/31	0.4762	0.8175
mlp_weights	down/31	0.4762	0.8175
attn_weights	k/27	0.4762	0.8413
attn_weights	v/30	0.4762	0.8175
mlp_weights	gate/28	0.4762	0.8492
layer	layer/28	0.4762	0.8254
attn_weights	k/30	0.4762	0.8254
mlp_weights	up/31	0.4762	0.8175
attn_weights	o/29	0.4762	0.8413
mlp_weights	gate/29	0.4683	0.8333
attn_weights	v/29	0.4683	0.8254
mlp_weights	down/30	0.4683	0.8175
attn	attn/28	0.4683	0.8016
attn	attn/30	0.4683	0.8095
attn_weights	q/28	0.4603	0.7857
mlp	mlp/27	0.4603	0.8413
mlp_weights	down/28	0.4603	0.8254
mlp_weights	up/27	0.4603	0.8254
mlp	mlp/29	0.4603	0.8254
mlp_weights	down/29	0.4524	0.8333
mlp	mlp/28	0.4524	0.8254
attn_weights	o/31	0.4524	0.8095
attn_weights	v/28	0.4524	0.8254
attn_weights	k/28	0.4444	0.8095
attn_weights	v/31	0.4444	0.8095
mlp_weights	up/28	0.4444	0.7937
attn	attn/25	0.4365	0.7222
layer	layer/29	0.4286	0.7540
attn	attn/29	0.4127	0.7540
attn_weights	q/29	0.4048	0.7540
attn_weights	k/29	0.3730	0.7222
attn_weights	q/25	0.3571	0.6349
